asset,kind,hazard_line,subregion,readiness_0_100,surge_hours_72h,annual_cost_musd,activation_hours,shares_crew_with,requires_cache,readiness_under_concurrent_season,activation_under_concurrent_season
WFR-UP-05,Contract,Wildfire,Uplands,52.3,422,1.50,7.4,,,,
QKE-UP-01,Team,Quake,Uplands,88.0,260,4.08,2.2,HZM-UP-01,,,
QKE-UP-02,Cache,Quake,Uplands,63.1,73,1.29,3.3,,,,
QKE-UP-03,Mobile,Quake,Uplands,69.2,342,4.03,0.8,,QKE-UP-02,,
QKE-UP-04,Contract,Quake,Uplands,42.7,421,1.69,10.4,,,,
STM-UP-01,Team,Storm,Uplands,78.1,318,3.40,1.3,,,,
STM-UP-02,Cache,Storm,Uplands,52.7,56,0.44,3.6,,,,
STM-UP-03,Mobile,Storm,Uplands,74.3,353,3.48,2.6,,STM-UP-02,,
STM-UP-04,Contract,Storm,Uplands,49.6,477,1.16,9.7,,,,
STM-UP-05,Contract,Storm,Uplands,28.0,404,0.78,9.6,,,,
HZM-UP-01,Team,Hazmat,Uplands,88.0,259,4.17,1.2,,,68.6,1.7
HZM-UP-02,Cache,Hazmat,Uplands,79.3,67,1.51,4.1,,,61.9,5.7
HZM-UP-03,Mobile,Hazmat,Uplands,75.9,313,4.16,4.0,,HZM-UP-02,59.2,5.6
HZM-UP-04,Contract,Hazmat,Uplands,43.1,348,1.67,9.8,,,33.6,13.7
FLD-DL-01,Team,Flood,Delta,82.6,324,3.73,0.9,,,54.5,1.3
FLD-DL-02,Team,Flood,Delta,80.9,243,3.35,0.4,WFR-DL-02,,53.4,0.6
FLD-DL-03,Cache,Flood,Delta,54.8,89,0.76,3.4,,,36.2,4.8
FLD-DL-04,Mobile,Flood,Delta,79.1,420,4.03,2.3,,FLD-DL-03,52.2,3.2
FLD-DL-05,Contract,Flood,Delta,42.9,544,1.39,7.9,,,28.3,11.1
FLD-DL-06,Contract,Flood,Delta,38.6,488,1.24,12.3,,,25.5,17.2
WFR-DL-01,Team,Wildfire,Delta,90.3,310,4.04,0.5,,,,
WFR-DL-02,Team,Wildfire,Delta,91.4,339,4.18,1.1,,,,
WFR-DL-03,Cache,Wildfire,Delta,70.3,100,1.13,4.0,,,,
WFR-DL-04,Mobile,Wildfire,Delta,73.1,430,4.15,2.3,,WFR-DL-03,,
WFR-DL-05,Contract,Wildfire,Delta,37.2,543,1.52,10.6,,,,
QKE-DL-01,Team,Quake,Delta,77.6,219,3.68,1.6,HZM-DL-01,,,
QKE-DL-02,Cache,Quake,Delta,65.2,95,1.37,3.9,,,,
QKE-DL-03,Mobile,Quake,Delta,74.8,433,4.49,1.6,,QKE-DL-02,,
QKE-DL-04,Contract,Quake,Delta,44.0,367,1.62,7.2,,,,
STM-DL-01,Team,Storm,Delta,65.7,334,3.20,1.3,,,,
STM-DL-02,Cache,Storm,Delta,59.8,125,0.71,2.1,,,,
STM-DL-03,Mobile,Storm,Delta,69.9,483,3.88,2.4,,STM-DL-02,,
STM-DL-04,Contract,Storm,Delta,30.5,491,0.95,3.1,,,,
STM-DL-05,Contract,Storm,Delta,33.8,456,0.94,11.4,,,,
HZM-DL-01,Team,Hazmat,Delta,38.2,234,2.97,1.7,,,29.8,2.4
HZM-DL-02,Cache,Hazmat,Delta,30.9,135,1.28,4.2,,,24.1,5.9
HZM-DL-03,Mobile,Hazmat,Delta,33.4,336,3.39,2.0,,HZM-DL-02,26.1,2.8
HZM-DL-04,Contract,Hazmat,Delta,41.8,388,1.72,8.6,,,32.6,12.0
